Symbol,Company Name,Market Cap,% Change,Volume,Revenue
SPLP,Steel Partners Holdings L.P.,777.59M,-4.61%,2006,2.00B
ADSE,ADS-TEC Energy PLC,771.06M,-,66824,158.97M
GSL,"Global Ship Lease, Inc.",767.28M,2.17%,218354,701.48M
ASTE,"Astec Industries, Inc.",758.39M,0.97%,172188,1.28B
NVRI,Enviri Corporation,745.26M,1.20%,265156,2.09B
ZIP,"ZipRecruiter, Inc.",744.49M,10.12%,393270,498.90M
GLDD,Great Lakes Dredge & Dock Corporation,738.65M,1.48%,218960,741.65M
TRNS,"Transcat, Inc.",738.22M,2.69%,113713,272.20M
JELD,"JELD-WEN Holding, Inc.",728.58M,1.29%,438303,3.90B
CVLG,"Covenant Logistics Group, Inc.",728.04M,2.11%,62956,1.13B
RYI,Ryerson Holding Corporation,706.69M,3.89%,189501,4.70B
SERV,Serve Robotics Inc.,706.23M,1.77%,7212883,1.68M
PLPC,Preformed Line Products Company,699.23M,-0.70%,18623,572.20M
NPK,"National Presto Industries, Inc.",686.39M,-0.55%,12059,351.95M
MEG,"Montrose Environmental Group, Inc.",681.90M,0.20%,433143,673.08M
MAGN,Magnera Corporation,680.32M,4.00%,611420,2.18B
EVLV,"Evolv Technologies Holdings, Inc.",666.44M,6.55%,1254864,89.22M
ATRO,Astronics Corporation,649.89M,0.71%,187645,782.18M
WNC,Wabash National Corporation,646.24M,-1.44%,1154630,1.95B
GNK,Genco Shipping & Trading Limited,628.54M,4.18%,400076,439.33M
KODK,Eastman Kodak Company,618.28M,5.20%,981580,1.05B
FBYD,"Falcon's Beyond Global, Inc.",605.81M,4.21%,47563,7.53M
FLX,BingEx Limited,598.15M,-1.91%,7418,663.14M
RGR,"Sturm, Ruger & Company, Inc.",597.92M,1.34%,74637,520.49M
BYRN,Byrna Technologies Inc.,594.34M,0.99%,425916,73.42M
